PassengerId,Survived_pred,Survived_prob
892,0,0.12468632365688799
893,1,0.5995101798071625
894,0,0.18092826378607052
895,0,0.12418410275728403
896,1,0.5004429524228614
897,0,0.12418410275728403
898,1,0.731784486106885
899,0,0.14815622297199152
900,1,0.7370772866811198
901,0,0.09593528886038165
902,0,0.12418410275728403
903,0,0.2405285331920112
904,1,0.9259664774488445
905,0,0.20846685283000474
906,1,0.9170589110384216
907,1,0.9289879114882137
908,0,0.16715055795294695
909,0,0.1589305857698655
910,0,0.4631737031143324
911,1,0.6194908403258066
912,0,0.36402427933982917
913,0,0.36989304069386475
914,1,0.9145260753192882
915,0,0.4221612761214603
916,1,0.9459847652267043
917,0,0.0778217322957908
918,1,0.9565320501995814
919,0,0.1589305857698655
920,0,0.2888775068953187
921,0,0.17562885466294598
922,0,0.14607230838970195
923,0,0.13691798942355554
924,1,0.5524222158930087
925,0,0.4415364925335161
926,0,0.38419615432606663
927,0,0.1589305857698655
928,0,0.4907300600365174
929,0,0.4608723260622099
930,0,0.12418410275728403
931,0,0.2828556737769015
932,0,0.12957378412397844
933,0,0.2769887749531538
934,0,0.09464179326102218
935,1,0.8727828362458236
936,1,0.9544417265861657
937,0,0.12418410275728403
938,0,0.2613301008032091
939,0,0.14180427334544665
940,1,0.9509803451326339
941,1,0.6268164542177566
942,0,0.3292498360027827
943,0,0.13417272563261287
944,1,0.8635970449049998
945,1,0.7568077913243971
946,0,0.2397900860897607
947,0,0.10310517694725647
948,0,0.12726942364449548
949,0,0.12418410275728403
950,0,0.14173279347492934
951,1,0.9569026016516526
952,0,0.12418410275728403
953,0,0.1619478169434498
954,0,0.12418410275728403
955,1,0.7522421411363907
956,0,0.42226139577991
957,1,0.8973131039493505
958,1,0.5640651624176225
959,0,0.18675324667702298
960,0,0.3516122021015678
961,1,0.7074160359820969
962,1,0.5932517387442673
963,0,0.12418410275728403
964,0,0.4907300600365174
965,0,0.33799015062440757
966,1,0.9569026016516526
967,0,0.4080539295138306
968,0,0.12418410275728403
969,1,0.8774968193965202
970,0,0.132322656693983
971,1,0.5932517387442673
972,1,0.8560542097280459
973,0,0.21656626847592567
974,0,0.2736749304770549
975,0,0.12418410275728403
976,0,0.16809287485583388
977,0,0.12267378206563381
978,1,0.5932517387442673
979,0,0.4608723260622099
980,1,0.5932517387442673
